date,event,run_number,position,time,age_grade,pb
2026-04-11,Lochore Meadows,307,118,37:59,34.36,false
2026-03-21,Lochore Meadows,304,124,34:53,37.41,false
2026-03-07,Lochore Meadows,302,131,35:47,36.33,false
2026-02-28,Lochore Meadows,301,112,38:21,33.90,false
2026-02-21,Lochore Meadows,300,129,34:06,38.12,false
2026-02-07,Lochore Meadows,299,79,38:42,33.59,false
2026-01-24,Lochore Meadows,297,121,34:43,37.45,false
2026-01-17,Dunfermline,436,134,36:13,35.90,false
2026-01-03,Dunfermline,435,215,38:11,34.05,false
2025-12-13,Lochore Meadows,294,84,37:31,34.65,false
2025-12-06,Lochore Meadows,293,114,39:19,33.06,false
2025-11-29,Lochore Meadows,292,122,37:48,34.39,false
2025-11-22,Lochore Meadows,291,64,35:17,36.84,false
2025-11-08,Lochore Meadows,289,104,34:29,37.70,false
2025-10-25,Lochore Meadows,287,95,33:00,39.39,false
2025-10-18,Lochore Meadows,286,86,31:52,40.79,false
2025-10-11,Lochore Meadows,285,95,33:46,38.50,false
2025-10-04,Dunfermline,422,149,37:27,34.71,false
2025-09-13,Lochore Meadows,282,83,35:29,36.64,false
2025-08-30,Lochore Meadows,280,133,42:03,30.92,false
2025-08-23,Lochore Meadows,279,84,33:37,38.67,false
2025-08-16,Lochore Meadows,278,134,36:02,36.08,false
2025-08-02,Lochore Meadows,276,98,34:23,37.81,false
2025-07-26,Lochore Meadows,275,84,31:05,41.82,false
2025-07-19,Lochore Meadows,274,122,35:59,36.13,false
2025-07-05,Lochore Meadows,272,137,35:28,36.65,false
2025-06-28,Lochore Meadows,271,210,34:33,37.63,false
2025-06-14,Lochore Meadows,269,48,29:51,43.55,true
2025-05-31,Lochore Meadows,267,204,36:56,35.20,false
2025-05-24,University of Stirling,218,220,37:55,34.29,false
2025-05-17,Lochore Meadows,266,203,38:18,33.94,false
2025-04-26,Lochore Meadows,263,106,34:24,37.79,true
2025-04-19,Lochore Meadows,262,144,35:21,36.78,false
2025-04-05,Dunfermline,400,215,35:35,36.53,true
2025-03-29,Dunfermline,399,188,35:42,36.41,true
2025-03-22,Lochore Meadows,260,124,35:09,36.98,false
2025-03-15,Dunfermline,397,164,37:07,35.02,false
